name,url,avatarUrl
Cristina Galasso,https://github.com/cristigalas,https://avatars3.githubusercontent.com/u/21283775?v=4
Chiara,https://github.com/chiccap,https://avatars2.githubusercontent.com/u/21237278?v=4
Marieva Favoino,https://github.com/favoeva,https://avatars1.githubusercontent.com/u/9965333?v=4
Saraveg,https://github.com/Saraveg,https://avatars1.githubusercontent.com/u/22255392?v=4
claudiamazzantiact,https://github.com/claudiamazzantiact,https://avatars3.githubusercontent.com/u/62010622?v=4
luciaroma,https://github.com/luciaroma,https://avatars1.githubusercontent.com/u/21237419?v=4
FrancescaZambi89,https://github.com/FrancescaZambi89,https://avatars2.githubusercontent.com/u/61983590?v=4
