Nome,Dataset,Licença,Linklicença,Fonte,Formato,Notas
Relatórios actualizados, https://raw.githubusercontent.com/emergenzeHack/covid19pt_data/master/issues.csv, CC-BY 4.0, https://creativecommons.org/licenses/by/4.0, https://pt.covid19people.help/, CSV, -
Relatórios actualizados, https://raw.githubusercontent.com/emergenzeHack/covid19pt_data/master/issuesjson.json, CC-BY 4.0, https://creativecommons.org/licenses/by/4.0, https://pt.covid19people.help/, JSON, -
Relatórios actualizados, https://raw.githubusercontent.com/emergenzeHack/covid19pt_data/master/issues.geojson, CC-BY 4.0, https://creativecommons.org/licenses/by/4.0, https://pt.covid19people.help/, GeoJSON, -
