Nome,Logo,Link,Descrizione
ActionAid,https://www.covid19italia.info/images/actionaid-logo.png,https://actionaid.it,"ActionAid è un’organizzazione indipendente che agisce per la difesa dei diritti delle persone, contro la povertà, la disuguaglianza e l’ingiustizia. Come avvenuto nel 2016 per la piattaforma terremotocentroitalia.info, ActionAid si è messa a disposizione per dare voce alle persone coinvolte nell’emergenza diffondendo e promuovendo sui territori l'utilizzo della piattaforma, raccogliendo i bisogni delle persone coinvolte e cercando di dargli risposta."
Radio Bruno Brescia,https://www.radiobrunobrescia.it/wp-content/uploads/2018/12/cropped-Senza-titolo-2.png,https://www.radiobrunobrescia.it/,"Redazione bresciana dell'emittente Radio Bruno disponibile online o a Brescia sulla frequenza FM 93.300. Radio Bruno Brescia dedica uno spazio bisettimanale in cui vengono segnalate le iniziative più interessanti raccolte sulla piattaforma Covid19Italia.help che riguardano il territorio bresciano. Il podcast viene trasmesso il mercoledì e il venerdì mattina nel notiziario delle 9.00 e rimane disponibile sulla pagina Soundcloud della radio."
#CivicHackingIT,https://i.imgur.com/DI0FXdc.png,https://civichacking.it/,"Nella nostra newsletter parliamo di civic hacking in Italia. Abbiamo deciso di lasciare il nostro spazio settimanale e la reputazione nostra e della newsletter per far girare cose che meritano in ottica civic hacking, data viz, comunicazione delle emergenze e risposta all'emergenza."
